abnormal_frame_id,normal_frame_id,baseline_abnormal_score,baseline_normal_score,candidate_abnormal_score,candidate_normal_score
20250417_123456_Cam4_00140,20251112_191827_Cam4_00034,0.11578974,0.09881932,0.00437627,0.00442443
20250417_123456_Cam4_00140,20251210_185619_Cam4_00046,0.11578974,0.08162769,0.00437627,0.00442900
20251112_191827_Cam4_00054,20251112_191827_Cam4_00063,0.09084146,0.09019379,0.00402946,0.00419575
20251112_191827_Cam4_00054,20251210_185619_Cam4_00046,0.09084146,0.08162769,0.00402946,0.00442900
20250417_123456_Cam4_00162,20251210_185619_Cam4_00046,0.08547779,0.08162769,0.00366991,0.00442900
