rank,score,label
0,0.053113,1
1,0.044433,1
2,0.030717,1
3,0.023698,1
4,0.022638,0
5,0.021828,0
6,0.021006,1
7,0.020415,0
8,0.019966,1
9,0.019100,1
10,0.018098,0
11,0.017663,0
12,0.017195,0
13,0.015780,0
