rank,score,label
0,0.109541,1
1,0.084634,1
2,0.068943,1
3,0.056667,1
4,0.053624,0
5,0.046778,0
6,0.045907,1
7,0.029154,0
8,0.024540,0
9,0.023231,1
10,0.022604,0
11,0.022350,0
12,0.021220,1
13,0.021080,0
