rank,score,label
0,0.140220,0
1,0.128834,0
2,0.120436,0
3,0.119396,1
4,0.116495,1
5,0.115108,1
6,0.113001,0
7,0.112646,1
8,0.107917,1
9,0.099193,0
10,0.095976,0
11,0.093094,1
12,0.091918,0
13,0.091234,1
14,0.086260,1
15,0.083414,1
16,0.082098,0
17,0.078409,1
