rank,score,label
0,0.015483,1
1,0.014737,1
2,0.013989,1
3,0.012526,1
4,0.011942,1
5,0.011529,1
6,0.011476,0
7,0.011404,0
8,0.011243,0
9,0.011160,0
10,0.011113,1
11,0.011077,0
12,0.011014,1
13,0.010986,1
14,0.010952,1
15,0.010784,0
16,0.010770,0
17,0.010763,0
18,0.010745,0
19,0.010672,0
20,0.010667,1
