view_id,config_name,ckpt,depth_peft_ckpt,auroc_rgb,auroc_depth,auroc_fusion,delta_rgb_vs_baseline,delta_depth_vs_baseline,delta_fusion_vs_baseline
4,baseline,outputs\rail_all\Cam4\20260501_014226_cam4_bs32_lr0.005_img512_ratio1.0\best_cam4.pth,,0.70000000,0.36250000,0.35000000,0.00000000,0.00000000,-0.00000000
4,with_cam4peft,outputs\rail_all\Cam4\20260501_014226_cam4_bs32_lr0.005_img512_ratio1.0\best_cam4.pth,outputs\rail_peft\cam4_p1_20260501_225618\final\final_peft_cam4.pth,0.60000000,0.67500000,0.68750000,-0.10000000,0.31250000,0.33750000
