rank,frame_id,score,label
0,20251112_191827_Cam4_00095,0.04819417,1
1,20251112_191827_Cam4_00015,0.04155321,1
2,20251112_191827_Cam4_00054,0.01842983,1
3,20251112_191827_Cam4_00088,0.01772368,1
4,20251210_185619_Cam4_00024,0.01559201,1
5,20251112_191827_Cam4_00028,0.01539591,1
6,20251112_191827_Cam4_00034,0.01436197,0
7,20250417_123456_Cam4_00162,0.01351840,1
8,20251210_185619_Cam4_00022,0.01130993,1
9,20250417_123456_Cam4_00152,0.00976844,0
10,20250417_123456_Cam4_00140,0.00928381,1
11,20251112_191827_Cam4_00011,0.00867087,1
