rank,frame_id,score,label
0,20251112_191827_Cam4_00095,0.04841280,1
1,20251112_191827_Cam4_00015,0.04158977,1
2,20251112_191827_Cam4_00054,0.01909245,1
3,20251112_191827_Cam4_00088,0.01794076,1
4,20251210_185619_Cam4_00024,0.01578221,1
5,20251112_191827_Cam4_00028,0.01534144,1
6,20250417_123456_Cam4_00162,0.01340058,1
7,20251210_185619_Cam4_00022,0.01003469,1
8,20250417_123456_Cam4_00140,0.00943862,1
9,20250417_123456_Cam4_00134,0.00877850,0
10,20251112_191827_Cam4_00011,0.00774039,1
11,20250417_123456_Cam4_00079,0.00571056,0
