epoch,loss,gain,bias
1,0.01686756,0.97015274,0.02983091
10,0.01064411,0.80312592,0.16436696
20,0.01002281,0.71491218,0.15548633
30,0.00929105,0.61775947,0.11273639
40,0.00797310,0.48060253,0.05813836
50,0.00370698,0.22863561,0.00312093
60,0.00301730,0.16142334,-0.02624640
70,0.00299051,0.16388604,-0.04381089
80,0.00299365,0.16601081,-0.05714943
90,0.00298881,0.16582070,-0.06764392
100,0.00299487,0.16596343,-0.07530540
