epoch,loss,gain,bias
1,0.01807186,0.97172654,0.02815359
10,0.01059040,0.80735433,0.16827086
20,0.01002811,0.73199153,0.17064695
30,0.00949952,0.65724486,0.14134037
40,0.00864774,0.56126130,0.10149693
50,0.00693007,0.41580465,0.05581645
60,0.00309835,0.18352284,0.01398209
70,0.00296713,0.16787203,-0.00877656
80,0.00296695,0.16654775,-0.02675982
90,0.00295380,0.16797335,-0.04107508
100,0.00294799,0.16758017,-0.05269736
