rank,frame_id,score,label
0,20251112_191827_Cam4_00054,0.01895893,1
1,20251112_191827_Cam4_00088,0.01819692,1
2,20251112_191827_Cam4_00066,0.01699163,0
3,20251210_185619_Cam4_00024,0.01588945,1
4,20251112_191827_Cam4_00063,0.01565230,0
5,20251112_191827_Cam4_00034,0.01447191,0
6,20250417_123456_Cam4_00162,0.01341367,1
7,20251210_185619_Cam4_00046,0.01312966,0
8,20251112_191827_Cam4_00015,0.01260392,1
9,20251210_185619_Cam4_00022,0.01025372,1
10,20251210_185619_Cam4_00034,0.00994254,0
11,20250417_123456_Cam4_00140,0.00890253,1
12,20251112_191827_Cam4_00095,0.00805377,1
13,20251112_191827_Cam4_00011,0.00776952,1
14,20251112_191827_Cam4_00028,0.00719063,1
15,20250417_123456_Cam4_00134,0.00627152,0
16,20250417_123456_Cam4_00079,0.00581585,0
17,20250417_123456_Cam4_00152,0.00461246,0
