epoch,loss,gain,bias
1,0.01588153,0.97004724,0.02993364
10,0.01044875,0.79805934,0.16557023
20,0.00976069,0.70166934,0.15081242
30,0.00888587,0.58967209,0.10141317
40,0.00684370,0.41566414,0.04093343
50,0.00296629,0.15542369,-0.01288755
60,0.00295905,0.17829624,-0.03443816
70,0.00293782,0.16848916,-0.05426193
80,0.00294059,0.16993676,-0.06784191
90,0.00293010,0.17104933,-0.07754126
100,0.00293683,0.17049354,-0.08443534
