rank,frame_id,score,label
0,20251112_191827_Cam1_00095,0.01514465,1
1,20251112_191827_Cam1_00015,0.01470349,1
2,20251112_191827_Cam1_00028,0.01373491,1
3,20250417_123456_Cam1_00148,0.01251601,1
4,20250417_123456_Cam1_00147,0.01219011,1
5,20250417_123456_Cam1_00162,0.01216258,1
6,20251210_185619_Cam1_00044,0.01204844,1
7,20251210_185619_Cam1_00045,0.01191128,0
8,20251210_185619_Cam1_00025,0.01159400,0
9,20251210_185619_Cam1_00010,0.01157974,0
10,20251210_185619_Cam1_00021,0.01156265,0
11,20251210_185619_Cam1_00020,0.01140828,0
12,20251210_185619_Cam1_00015,0.01133481,0
13,20251210_185619_Cam1_00007,0.01133205,1
14,20251210_185619_Cam1_00048,0.01130806,0
15,20251210_185619_Cam1_00018,0.01122225,0
16,20251210_185619_Cam1_00017,0.01121798,1
17,20251210_185619_Cam1_00036,0.01121342,1
18,20251210_185619_Cam1_00013,0.01120812,0
19,20251210_185619_Cam1_00040,0.01103096,1
20,20251210_185619_Cam1_00038,0.01088385,0
