rank,frame_id,score,label
0,20251112_191827_Cam1_00095,0.01286166,1
1,20251112_191827_Cam1_00015,0.01167835,1
2,20251112_191827_Cam1_00028,0.01160883,1
3,20251210_185619_Cam1_00044,0.01150619,1
4,20251210_185619_Cam1_00045,0.01144682,0
5,20250417_123456_Cam1_00148,0.01121453,1
6,20250417_123456_Cam1_00147,0.01096990,1
7,20251210_185619_Cam1_00010,0.01088737,0
8,20251210_185619_Cam1_00017,0.01065569,1
9,20251210_185619_Cam1_00018,0.01065348,0
10,20251210_185619_Cam1_00013,0.01059316,0
11,20251210_185619_Cam1_00015,0.01052701,0
12,20251210_185619_Cam1_00040,0.01051095,1
13,20251210_185619_Cam1_00025,0.01048097,0
14,20251210_185619_Cam1_00021,0.01047590,0
15,20251210_185619_Cam1_00020,0.01046844,0
16,20251210_185619_Cam1_00038,0.01040375,0
17,20251210_185619_Cam1_00048,0.01039485,0
18,20251210_185619_Cam1_00036,0.01036383,1
19,20251210_185619_Cam1_00007,0.01024118,1
20,20250417_123456_Cam1_00162,0.00987644,1
