rank,frame_id,score,label
0,20251112_191827_Cam1_00095,0.01595660,1
1,20251112_191827_Cam1_00028,0.01541185,1
2,20251210_185619_Cam1_00044,0.01507237,1
3,20251112_191827_Cam1_00015,0.01503866,1
4,20251210_185619_Cam1_00045,0.01489169,0
5,20250417_123456_Cam1_00148,0.01462126,1
6,20250417_123456_Cam1_00147,0.01431196,1
7,20251210_185619_Cam1_00010,0.01420392,0
8,20251210_185619_Cam1_00017,0.01404851,1
9,20251210_185619_Cam1_00018,0.01397985,0
10,20251210_185619_Cam1_00013,0.01380231,0
11,20251210_185619_Cam1_00020,0.01376559,0
12,20251210_185619_Cam1_00021,0.01373908,0
13,20251210_185619_Cam1_00040,0.01373759,1
14,20251210_185619_Cam1_00015,0.01373658,0
15,20251210_185619_Cam1_00025,0.01372889,0
16,20251210_185619_Cam1_00038,0.01366084,0
17,20251210_185619_Cam1_00048,0.01360625,0
18,20251210_185619_Cam1_00036,0.01356280,1
19,20251210_185619_Cam1_00007,0.01334694,1
20,20250417_123456_Cam1_00162,0.01291138,1
