rank,frame_id,score,label
0,20251112_191827_Cam4_00015,0.10874363,1
1,20251112_191827_Cam4_00028,0.10737619,1
2,20251112_191827_Cam4_00095,0.10303033,1
3,20250417_123456_Cam4_00140,0.09933537,1
4,20251210_185619_Cam4_00022,0.09233971,1
5,20250417_123456_Cam4_00162,0.08780399,1
6,20251112_191827_Cam4_00066,0.07963087,0
7,20251112_191827_Cam4_00054,0.07704111,1
8,20251112_191827_Cam4_00011,0.07668655,1
9,20251112_191827_Cam4_00063,0.07523203,0
10,20251210_185619_Cam4_00024,0.06815501,1
11,20251112_191827_Cam4_00088,0.06245932,1
