rank,frame_id,score,label
0,20251112_191827_Cam5_00028,0.04768900,1
1,20251112_191827_Cam5_00095,0.04373116,1
2,20251112_191827_Cam5_00015,0.02318922,1
3,20251112_191827_Cam5_00033,0.02219600,0
4,20251112_191827_Cam5_00007,0.02103372,1
5,20251112_191827_Cam5_00018,0.02077479,1
6,20251112_191827_Cam5_00006,0.01849320,0
7,20251112_191827_Cam5_00022,0.01750609,0
8,20251112_191827_Cam5_00012,0.01745186,0
9,20251112_191827_Cam5_00046,0.01690353,0
10,20251112_191827_Cam5_00067,0.01686559,1
11,20251112_191827_Cam5_00040,0.01686059,0
12,20251112_191827_Cam5_00036,0.01680016,0
13,20251112_191827_Cam5_00123,0.01669244,1
