rank,frame_id,score,label
0,20251112_191827_Cam5_00028,0.05655354,1
1,20251112_191827_Cam5_00095,0.04771535,1
2,20251112_191827_Cam5_00018,0.03556763,1
3,20251112_191827_Cam5_00015,0.02527107,1
4,20251112_191827_Cam5_00033,0.02522786,0
5,20251112_191827_Cam5_00006,0.02363215,0
6,20251112_191827_Cam5_00007,0.02230523,1
7,20251112_191827_Cam5_00067,0.02134557,1
8,20251112_191827_Cam5_00046,0.02023137,0
9,20251112_191827_Cam5_00036,0.01935928,0
10,20251112_191827_Cam5_00040,0.01934048,0
11,20251112_191827_Cam5_00123,0.01917673,1
12,20251112_191827_Cam5_00012,0.01837981,0
13,20251112_191827_Cam5_00022,0.01813896,0
