rank,frame_id,score,label
0,20251112_191827_Cam5_00095,0.04728386,1
1,20251112_191827_Cam5_00028,0.04665555,1
2,20251112_191827_Cam5_00015,0.03048973,1
3,20251112_191827_Cam5_00007,0.02494938,1
4,20251112_191827_Cam5_00018,0.02314568,1
5,20251112_191827_Cam5_00033,0.02130155,0
6,20251112_191827_Cam5_00006,0.02076133,0
7,20251112_191827_Cam5_00022,0.01985575,0
8,20251112_191827_Cam5_00012,0.01965074,0
9,20251112_191827_Cam5_00046,0.01938004,0
10,20251112_191827_Cam5_00123,0.01937867,1
11,20251112_191827_Cam5_00040,0.01933302,0
12,20251112_191827_Cam5_00067,0.01932324,1
13,20251112_191827_Cam5_00036,0.01930628,0
