rank,frame_id,score,label
0,20251112_191827_Cam5_00018,0.01529346,1
1,20251112_191827_Cam5_00028,0.01414069,1
2,20251112_191827_Cam5_00095,0.01290770,1
3,20251112_191827_Cam5_00067,0.00784905,1
4,20251112_191827_Cam5_00046,0.00718550,0
5,20251112_191827_Cam5_00040,0.00711686,0
6,20251112_191827_Cam5_00033,0.00696094,0
7,20251112_191827_Cam5_00015,0.00648774,1
8,20251112_191827_Cam5_00006,0.00630331,0
9,20251112_191827_Cam5_00007,0.00604174,1
10,20251112_191827_Cam5_00123,0.00601510,1
11,20251112_191827_Cam5_00012,0.00562780,0
12,20251112_191827_Cam5_00022,0.00371513,0
13,20251112_191827_Cam5_00036,0.00354667,0
