rank,frame_id,score,label
0,20251112_191827_Cam5_00028,0.04702951,1
1,20251112_191827_Cam5_00095,0.04126136,1
2,20251112_191827_Cam5_00015,0.02284806,1
3,20251112_191827_Cam5_00007,0.02233350,1
4,20251112_191827_Cam5_00018,0.02070088,1
5,20251112_191827_Cam5_00033,0.01938983,0
6,20251112_191827_Cam5_00006,0.01911270,0
7,20251112_191827_Cam5_00022,0.01865473,0
8,20251112_191827_Cam5_00012,0.01823337,0
9,20251112_191827_Cam5_00123,0.01818177,1
10,20251112_191827_Cam5_00046,0.01813421,0
11,20251112_191827_Cam5_00067,0.01813073,1
12,20251112_191827_Cam5_00040,0.01811908,0
13,20251112_191827_Cam5_00036,0.01806239,0
