rank,frame_id,score,label
0,20251112_191827_Cam1_00028,0.01184908,1
1,20251112_191827_Cam1_00095,0.00885470,1
2,20251112_191827_Cam1_00015,0.00860060,1
3,20251210_185619_Cam1_00015,0.00620642,0
4,20251210_185619_Cam1_00040,0.00551314,1
5,20250417_123456_Cam1_00148,0.00523502,1
6,20251210_185619_Cam1_00017,0.00517432,1
7,20250417_123456_Cam1_00147,0.00478279,1
8,20251210_185619_Cam1_00010,0.00476749,0
9,20250417_123456_Cam1_00162,0.00438223,1
10,20251210_185619_Cam1_00044,0.00413924,1
11,20251210_185619_Cam1_00021,0.00401001,0
12,20251210_185619_Cam1_00020,0.00382660,0
13,20251210_185619_Cam1_00007,0.00380425,1
14,20251210_185619_Cam1_00038,0.00380318,0
15,20251210_185619_Cam1_00048,0.00378833,0
16,20251210_185619_Cam1_00013,0.00376980,0
17,20251210_185619_Cam1_00018,0.00369852,0
18,20251210_185619_Cam1_00025,0.00327270,0
19,20251210_185619_Cam1_00045,0.00323857,0
20,20251210_185619_Cam1_00036,0.00313808,1
