rank,frame_id,score,label
0,20250417_123456_Cam4_00134,0.10608815,0
1,20251112_191827_Cam4_00015,0.04849850,1
2,20251112_191827_Cam4_00095,0.04031435,1
3,20251112_191827_Cam4_00028,0.02691237,1
4,20251210_185619_Cam4_00024,0.01282011,1
5,20251112_191827_Cam4_00054,0.01225619,1
6,20251112_191827_Cam4_00011,0.01164979,1
7,20251112_191827_Cam4_00088,0.00985956,1
8,20250417_123456_Cam4_00140,0.00900820,1
9,20250417_123456_Cam4_00162,0.00842882,1
10,20250417_123456_Cam4_00079,0.00842715,0
11,20251210_185619_Cam4_00022,0.00802427,1
