epoch,loss,gain,bias
1,0.01664743,0.96134317,0.03848030
10,0.01044383,0.78168255,0.16199940
20,0.00969145,0.67168850,0.12676515
30,0.00836858,0.51843315,0.06305351
40,0.00348826,0.21218602,-0.00547944
50,0.00298453,0.17430179,-0.03570848
60,0.00297259,0.16707614,-0.05645959
70,0.00296344,0.16751178,-0.07049125
80,0.00296488,0.16726463,-0.08055186
90,0.00297464,0.16735364,-0.08714590
100,0.00298217,0.16735412,-0.09140857
