run_type,fold,auroc,num_images,num_normal,num_abnormal,gain,bias,peft_ckpt,scores_csv,train_good,test_good
baseline,,0.41250000,18,8,10,,,,outputs/rail_peft/cam4_p1_20260501_223608/eval/baseline_scores.csv,,
p1_cv,1,0.45000000,12,2,10,0.16602871,-0.08183609,outputs/rail_peft/cam4_p1_20260501_223608/fold1_peft_cam4.pth,outputs/rail_peft/cam4_p1_20260501_223608/cv/fold1/scores.csv,20250417_123456_Cam4_00152 20251112_191827_Cam4_00034 20251112_191827_Cam4_00063 20251112_191827_Cam4_00066 20251210_185619_Cam4_00034 20251210_185619_Cam4_00046,20250417_123456_Cam4_00079 20250417_123456_Cam4_00134
p1_cv,2,0.30000000,12,2,10,0.16596343,-0.07530540,outputs/rail_peft/cam4_p1_20260501_223608/fold2_peft_cam4.pth,outputs/rail_peft/cam4_p1_20260501_223608/cv/fold2/scores.csv,20250417_123456_Cam4_00079 20250417_123456_Cam4_00134 20251112_191827_Cam4_00063 20251112_191827_Cam4_00066 20251210_185619_Cam4_00034 20251210_185619_Cam4_00046,20250417_123456_Cam4_00152 20251112_191827_Cam4_00034
p1_cv,3,0.80000000,12,2,10,0.16758017,-0.05269736,outputs/rail_peft/cam4_p1_20260501_223608/fold3_peft_cam4.pth,outputs/rail_peft/cam4_p1_20260501_223608/cv/fold3/scores.csv,20250417_123456_Cam4_00079 20250417_123456_Cam4_00134 20250417_123456_Cam4_00152 20251112_191827_Cam4_00034 20251210_185619_Cam4_00034 20251210_185619_Cam4_00046,20251112_191827_Cam4_00063 20251112_191827_Cam4_00066
p1_cv,4,0.90000000,12,2,10,0.17049354,-0.08443534,outputs/rail_peft/cam4_p1_20260501_223608/fold4_peft_cam4.pth,outputs/rail_peft/cam4_p1_20260501_223608/cv/fold4/scores.csv,20250417_123456_Cam4_00079 20250417_123456_Cam4_00134 20250417_123456_Cam4_00152 20251112_191827_Cam4_00034 20251112_191827_Cam4_00063 20251112_191827_Cam4_00066,20251210_185619_Cam4_00034 20251210_185619_Cam4_00046
p1_final_train_all_good,,0.56250000,18,8,10,0.16735412,-0.09140857,outputs/rail_peft/cam4_p1_20260501_223608/final_peft_cam4.pth,outputs/rail_peft/cam4_p1_20260501_223608/final/final_peft_scores.csv,20250417_123456_Cam4_00079 20250417_123456_Cam4_00134 20250417_123456_Cam4_00152 20251112_191827_Cam4_00034 20251112_191827_Cam4_00063 20251112_191827_Cam4_00066 20251210_185619_Cam4_00034 20251210_185619_Cam4_00046,
