rank,frame_id,score,label
0,20251112_191827_Cam4_00015,0.04824844,1
1,20251112_191827_Cam4_00095,0.04045497,1
2,20251112_191827_Cam4_00028,0.02774591,1
3,20251210_185619_Cam4_00024,0.01336072,1
4,20251112_191827_Cam4_00054,0.01205722,1
5,20251112_191827_Cam4_00011,0.01087872,1
6,20251112_191827_Cam4_00088,0.00957825,1
7,20250417_123456_Cam4_00140,0.00881413,1
8,20250417_123456_Cam4_00162,0.00858628,1
9,20251210_185619_Cam4_00046,0.00804497,0
10,20251210_185619_Cam4_00034,0.00789483,0
11,20251210_185619_Cam4_00022,0.00777055,1
